Date,Product,Sales_INR,Quantity
2021-03-24,Tirupati Cottonseed Oil,766066,510
2021-03-24,Tirupati Sunflower Oil,263192,175
2021-03-24,Tirupati Groundnut Oil,169512,113
2021-03-24,Tirupati Soybean Oil,528748,352
2021-03-24,Tirupati Mustard Oil,540267,360
2021-03-24,Olixir Olive Oil,584977,389
2021-03-24,Olixir Sesame Oil,548082,365
2021-03-24,Castor Oil,442788,295
2021-03-24,Refined Castor Oil,112419,74
2021-03-24,De Oiled Cake,181396,120
2021-03-25,Tirupati Cottonseed Oil,126687,84
2021-03-25,Tirupati Sunflower Oil,153720,102
2021-03-25,Tirupati Groundnut Oil,87421,58
2021-03-25,Tirupati Soybean Oil,376992,251
2021-03-25,Tirupati Mustard Oil,356275,237
2021-03-25,Olixir Olive Oil,231106,154
2021-03-25,Olixir Sesame Oil,232448,154
2021-03-25,Castor Oil,552234,368
2021-03-25,Refined Castor Oil,305637,203
2021-03-25,De Oiled Cake,502152,334
2021-03-26,Tirupati Cottonseed Oil,495108,330
2021-03-26,Tirupati Sunflower Oil,594429,396
2021-03-26,Tirupati Groundnut Oil,426854,284
2021-03-26,Tirupati Soybean Oil,468262,312
2021-03-26,Tirupati Mustard Oil,118108,78
2021-03-26,Olixir Olive Oil,214992,143
2021-03-26,Olixir Sesame Oil,459912,306
2021-03-26,Castor Oil,214216,142
2021-03-26,Refined Castor Oil,141236,94
2021-03-26,De Oiled Cake,511322,340
2021-03-27,Tirupati Cottonseed Oil,281659,187
2021-03-27,Tirupati Sunflower Oil,560640,373
2021-03-27,Tirupati Groundnut Oil,413799,275
2021-03-27,Tirupati Soybean Oil,263082,175
2021-03-27,Tirupati Mustard Oil,388809,259
2021-03-27,Olixir Olive Oil,478549,319
2021-03-27,Olixir Sesame Oil,570530,380
2021-03-27,Castor Oil,298660,199
2021-03-27,Refined Castor Oil,311749,207
2021-03-27,De Oiled Cake,536877,357
2021-03-28,Tirupati Cottonseed Oil,808242,538
2021-03-28,Tirupati Sunflower Oil,261453,174
2021-03-28,Tirupati Groundnut Oil,361790,241
2021-03-28,Tirupati Soybean Oil,139401,92
2021-03-28,Tirupati Mustard Oil,519338,346
2021-03-28,Olixir Olive Oil,372254,248
2021-03-28,Olixir Sesame Oil,220312,146
2021-03-28,Castor Oil,596252,397
2021-03-28,Refined Castor Oil,326727,217
2021-03-28,De Oiled Cake,68880,45
2021-03-29,Tirupati Cottonseed Oil,762470,508
2021-03-29,Tirupati Sunflower Oil,580335,386
2021-03-29,Tirupati Groundnut Oil,261939,174
2021-03-29,Tirupati Soybean Oil,101974,67
2021-03-29,Tirupati Mustard Oil,306208,204
2021-03-29,Olixir Olive Oil,340683,227
2021-03-29,Olixir Sesame Oil,557896,371
2021-03-29,Castor Oil,163519,109
2021-03-29,Refined Castor Oil,88176,58
2021-03-29,De Oiled Cake,171022,114
2021-03-30,Tirupati Cottonseed Oil,785623,523
2021-03-30,Tirupati Sunflower Oil,181016,120
2021-03-30,Tirupati Groundnut Oil,338443,225
2021-03-30,Tirupati Soybean Oil,397638,265
2021-03-30,Tirupati Mustard Oil,422679,281
2021-03-30,Olixir Olive Oil,170317,113
2021-03-30,Olixir Sesame Oil,328226,218
2021-03-30,Castor Oil,81783,54
2021-03-30,Refined Castor Oil,213802,142
2021-03-30,De Oiled Cake,476830,317
2021-03-31,Tirupati Cottonseed Oil,322288,214
2021-03-31,Tirupati Sunflower Oil,437372,291
2021-03-31,Tirupati Groundnut Oil,394634,263
2021-03-31,Tirupati Soybean Oil,459669,306
2021-03-31,Tirupati Mustard Oil,432392,288
2021-03-31,Olixir Olive Oil,494628,329
2021-03-31,Olixir Sesame Oil,63746,42
2021-03-31,Castor Oil,347048,231
2021-03-31,Refined Castor Oil,530292,353
2021-03-31,De Oiled Cake,367873,245
2021-04-01,Tirupati Cottonseed Oil,432927,288
2021-04-01,Tirupati Sunflower Oil,116769,77
2021-04-01,Tirupati Groundnut Oil,359398,239
2021-04-01,Tirupati Soybean Oil,121557,81
2021-04-01,Tirupati Mustard Oil,495340,330
2021-04-01,Olixir Olive Oil,388749,259
2021-04-01,Olixir Sesame Oil,97998,65
2021-04-01,Castor Oil,362973,241
2021-04-01,Refined Castor Oil,421441,280
2021-04-01,De Oiled Cake,245118,163
2021-04-02,Tirupati Cottonseed Oil,273365,182
2021-04-02,Tirupati Sunflower Oil,121089,80
2021-04-02,Tirupati Groundnut Oil,210037,140
2021-04-02,Tirupati Soybean Oil,278701,185
2021-04-02,Tirupati Mustard Oil,215446,143
2021-04-02,Olixir Olive Oil,356044,237
2021-04-02,Olixir Sesame Oil,140374,93
2021-04-02,Castor Oil,114518,76
2021-04-02,Refined Castor Oil,89191,59
2021-04-02,De Oiled Cake,409584,273
2021-04-03,Tirupati Cottonseed Oil,326614,217
2021-04-03,Tirupati Sunflower Oil,463993,309
2021-04-03,Tirupati Groundnut Oil,267580,178
