return_period,doc_type,invoice_no,invoice_date,counterparty_id,counterparty_name,gstin,taxable_value,cgst_amount,sgst_amount,igst_amount,total_tax_amount,gstr2b_status,mismatch_flag,mismatch_reason
2022-01,Sale,S-202201-00001,2022-01-01,C001,Shree Traders Ahmedabad,24CUST0000Z5,186988.56,16828.97,16828.97,0.0,33657.94,N/A,0,
2022-01,Sale,S-202201-00002,2022-01-01,C001,Shree Traders Ahmedabad,24CUST0001Z5,73590.72,6623.16,6623.16,0.0,13246.32,N/A,0,
2022-01,Sale,S-202201-00003,2022-01-01,C001,Shree Traders Ahmedabad,24CUST0002Z5,74329.9,6689.69,6689.69,0.0,13379.38,N/A,0,
2022-01,Sale,S-202201-00004,2022-01-01,C001,Shree Traders Ahmedabad,24CUST0003Z5,42807.6,3852.68,3852.68,0.0,7705.36,N/A,0,
2022-01,Sale,S-202201-00005,2022-01-01,C002,West India Distributors Mumbai,27CUST0004Z5,241395.0,0.0,0.0,43451.1,43451.1,N/A,0,
2022-01,Sale,S-202201-00006,2022-01-01,C002,West India Distributors Mumbai,27CUST0005Z5,94668.0,0.0,0.0,17040.24,17040.24,N/A,0,
2022-01,Sale,S-202201-00007,2022-01-01,C002,West India Distributors Mumbai,27CUST0006Z5,100033.32,0.0,0.0,18006.0,18006.0,N/A,0,
2022-01,Sale,S-202201-00008,2022-01-01,C002,West India Distributors Mumbai,27CUST0007Z5,56028.0,0.0,0.0,10085.04,10085.04,N/A,0,
2022-01,Sale,S-202201-00009,2022-01-01,C003,FreshMart Vadodara,24CUST0008Z5,95927.04,8633.43,8633.43,0.0,17266.86,N/A,0,
2022-01,Sale,S-202201-00010,2022-01-01,C003,FreshMart Vadodara,24CUST0009Z5,35642.88,3207.86,3207.86,0.0,6415.72,N/A,0,
2022-01,Sale,S-202201-00011,2022-01-01,C003,FreshMart Vadodara,24CUST0010Z5,43525.84,3917.33,3917.33,0.0,7834.66,N/A,0,
2022-01,Sale,S-202201-00012,2022-01-01,C003,FreshMart Vadodara,24CUST0011Z5,25966.08,2336.95,2336.95,0.0,4673.9,N/A,0,
2022-01,Sale,S-202201-00013,2022-01-01,C004,Pune Retail Mart,27CUST0012Z5,106444.8,0.0,0.0,19160.06,19160.06,N/A,0,
2022-01,Sale,S-202201-00014,2022-01-01,C004,Pune Retail Mart,27CUST0013Z5,39191.04,0.0,0.0,7054.39,7054.39,N/A,0,
2022-01,Sale,S-202201-00015,2022-01-01,C004,Pune Retail Mart,27CUST0014Z5,41597.48,0.0,0.0,7487.55,7487.55,N/A,0,
2022-01,Sale,S-202201-00016,2022-01-01,C004,Pune Retail Mart,27CUST0015Z5,23978.88,0.0,0.0,4316.2,4316.2,N/A,0,
2022-01,Sale,S-202201-00019,2022-01-01,C007,Industrial Chemicals Pvt Ltd,24CUST0018Z5,125712.0,11314.08,11314.08,0.0,22628.16,N/A,0,
2022-01,Sale,S-202201-00020,2022-01-01,C008,Rajkot Agro Feed Traders,24CUST0019Z5,82867.2,7458.05,7458.05,0.0,14916.1,N/A,0,
2022-02,Sale,S-202202-00021,2022-02-01,C001,Shree Traders Ahmedabad,24CUST0020Z5,172425.0,15518.25,15518.25,0.0,31036.5,N/A,0,
2022-02,Sale,S-202202-00022,2022-02-01,C001,Shree Traders Ahmedabad,24CUST0021Z5,61286.4,5515.78,5515.78,0.0,11031.56,N/A,0,
2022-02,Sale,S-202202-00023,2022-02-01,C001,Shree Traders Ahmedabad,24CUST0022Z5,61244.6,5512.01,5512.01,0.0,11024.02,N/A,0,
2022-02,Sale,S-202202-00024,2022-02-01,C001,Shree Traders Ahmedabad,24CUST0023Z5,39854.4,3586.9,3586.9,0.0,7173.8,N/A,0,
2022-02,Sale,S-202202-00025,2022-02-01,C002,West India Distributors Mumbai,27CUST0024Z5,206420.94,0.0,0.0,37155.77,37155.77,N/A,0,
2022-02,Sale,S-202202-00026,2022-02-01,C002,West India Distributors Mumbai,27CUST0025Z5,82220.04,0.0,0.0,14799.61,14799.61,N/A,0,
2022-02,Sale,S-202202-00027,2022-02-01,C002,West India Distributors Mumbai,27CUST0026Z5,91613.43,0.0,0.0,16490.42,16490.42,N/A,0,
2022-02,Sale,S-202202-00028,2022-02-01,C002,West India Distributors Mumbai,27CUST0027Z5,47752.83,0.0,0.0,8595.51,8595.51,N/A,0,
2022-02,Sale,S-202202-00029,2022-02-01,C003,FreshMart Vadodara,24CUST0028Z5,82457.76,7421.2,7421.2,0.0,14842.4,N/A,0,
2022-02,Sale,S-202202-00030,2022-02-01,C003,FreshMart Vadodara,24CUST0029Z5,39925.2,3593.27,3593.27,0.0,7186.54,N/A,0,
2022-02,Sale,S-202202-00031,2022-02-01,C003,FreshMart Vadodara,24CUST0030Z5,42837.14,3855.34,3855.34,0.0,7710.68,N/A,0,
2022-02,Sale,S-202202-00032,2022-02-01,C003,FreshMart Vadodara,24CUST0031Z5,22220.76,1999.87,1999.87,0.0,3999.74,N/A,0,
2022-02,Sale,S-202202-00033,2022-02-01,C004,Pune Retail Mart,27CUST0032Z5,82969.92,0.0,0.0,14934.59,14934.59,N/A,0,
2022-02,Sale,S-202202-00034,2022-02-01,C004,Pune Retail Mart,27CUST0033Z5,37317.84,0.0,0.0,6717.21,6717.21,N/A,0,
2022-02,Sale,S-202202-00035,2022-02-01,C004,Pune Retail Mart,27CUST0034Z5,41322.0,0.0,0.0,7437.96,7437.96,N/A,0,
2022-02,Sale,S-202202-00036,2022-02-01,C004,Pune Retail Mart,27CUST0035Z5,22756.2,0.0,0.0,4096.12,4096.12,N/A,0,
2022-02,Sale,S-202202-00039,2022-02-01,C007,Industrial Chemicals Pvt Ltd,24CUST0038Z5,107088.0,9637.92,9637.92,0.0,19275.84,N/A,0,
2022-02,Sale,S-202202-00040,2022-02-01,C008,Rajkot Agro Feed Traders,24CUST0039Z5,78617.6,7075.58,7075.58,0.0,14151.16,N/A,0,
2022-03,Sale,S-202203-00041,2022-03-01,C001,Shree Traders Ahmedabad,24CUST0040Z5,172299.6,15506.96,15506.96,0.0,31013.92,N/A,0,
2022-03,Sale,S-202203-00042,2022-03-01,C001,Shree Traders Ahmedabad,24CUST0041Z5,73416.0,6607.44,6607.44,0.0,13214.88,N/A,0,
2022-03,Sale,S-202203-00043,2022-03-01,C001,Shree Traders Ahmedabad,24CUST0042Z5,69203.7,6228.33,6228.33,0.0,12456.66,N/A,0,
2022-03,Sale,S-202203-00044,2022-03-01,C001,Shree Traders Ahmedabad,24CUST0043Z5,37494.6,3374.51,3374.51,0.0,6749.02,N/A,0,
2022-03,Sale,S-202203-00045,2022-03-01,C002,West India Distributors Mumbai,27CUST0044Z5,195790.32,0.0,0.0,35242.26,35242.26,N/A,0,
2022-03,Sale,S-202203-00046,2022-03-01,C002,West India Distributors Mumbai,27CUST0045Z5,90100.08,0.0,0.0,16218.01,16218.01,N/A,0,
2022-03,Sale,S-202203-00047,2022-03-01,C002,West India Distributors Mumbai,27CUST0046Z5,92870.13,0.0,0.0,16716.62,16716.62,N/A,0,
2022-03,Sale,S-202203-00048,2022-03-01,C002,West India Distributors Mumbai,27CUST0047Z5,47752.83,0.0,0.0,8595.51,8595.51,N/A,0,
2022-03,Sale,S-202203-00049,2022-03-01,C003,FreshMart Vadodara,24CUST0048Z5,83866.2,7547.96,7547.96,0.0,15095.92,N/A,0,
2022-03,Sale,S-202203-00050,2022-03-01,C003,FreshMart Vadodara,24CUST0049Z5,38132.64,3431.94,3431.94,0.0,6863.88,N/A,0,
2022-03,Sale,S-202203-00051,2022-03-01,C003,FreshMart Vadodara,24CUST0050Z5,39531.38,3557.82,3557.82,0.0,7115.64,N/A,0,
2022-03,Sale,S-202203-00052,2022-03-01,C003,FreshMart Vadodara,24CUST0051Z5,22086.9,1987.82,1987.82,0.0,3975.64,N/A,0,
2022-03,Sale,S-202203-00053,2022-03-01,C004,Pune Retail Mart,27CUST0052Z5,92700.96,0.0,0.0,16686.17,16686.17,N/A,0,
2022-03,Sale,S-202203-00054,2022-03-01,C004,Pune Retail Mart,27CUST0053Z5,36666.0,0.0,0.0,6599.88,6599.88,N/A,0,
2022-03,Sale,S-202203-00055,2022-03-01,C004,Pune Retail Mart,27CUST0054Z5,38842.68,0.0,0.0,6991.68,6991.68,N/A,0,
2022-03,Sale,S-202203-00056,2022-03-01,C004,Pune Retail Mart,27CUST0055Z5,22890.06,0.0,0.0,4120.21,4120.21,N/A,0,
2022-03,Sale,S-202203-00059,2022-03-01,C007,Industrial Chemicals Pvt Ltd,24CUST0058Z5,111744.0,10056.96,10056.96,0.0,20113.92,N/A,0,
2022-03,Sale,S-202203-00060,2022-03-01,C008,Rajkot Agro Feed Traders,24CUST0059Z5,81273.6,7314.62,7314.62,0.0,14629.24,N/A,0,
2022-04,Sale,S-202204-00061,2022-04-01,C001,Shree Traders Ahmedabad,24CUST0060Z5,149853.0,13486.77,13486.77,0.0,26973.54,N/A,0,
