snapshot_date,sku,product_name,category,warehouse,current_stock_kg,avg_daily_sales,days_no_movement,last_sale_date,lead_time_days,safety_stock,reorder_point,ideal_stock,needs_reorder,unit_cost_inr,total_value_inr,monthly_holding_cost,aging_bucket,is_dead_stock,health_score,supplier
2022-01-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Ahmedabad Plant,3348.64,129.85,3,2021-12-29,5,1558,2207,3090,0,112.0,375047.68,6750.86,0-30 days,0,93.7,Gujarat Agro Seeds Pvt Ltd
2022-01-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Ahmedabad Plant,851.05,36.73,12,2021-12-20,6,477,697,976,0,145.0,123402.25,2221.24,0-30 days,0,97.1,Kathiawar Peanut Processors
2022-01-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Ahmedabad Plant,936.17,36.02,12,2021-12-20,5,432,612,857,0,129.0,120765.93,2173.79,0-30 days,0,90.9,Shakti Packaging Industries
2022-01-01,P004,Industrial Castor Oil 50L,Industrial Oil,Ahmedabad Plant,138.42,3.49,17,2021-12-15,10,59,94,118,0,4120.0,570290.4,10265.23,0-30 days,0,88.1,Industrial Chemicals Feedstock Co
2022-01-01,P005,De-Oiled Cake 25Kg,ByProduct,Ahmedabad Plant,76.67,3.38,15,2021-12-17,7,47,71,89,0,530.0,40635.1,731.43,0-30 days,0,93.7,Rajkot Agro Milling Associates
2022-01-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Ahmedabad Plant,566.64,25.37,6,2021-12-26,5,304,431,603,0,119.0,67430.16,1213.74,0-30 days,0,95.2,Healthy Bran Oils Pvt Ltd
2022-01-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Rajkot Warehouse,1583.69,60.6,7,2021-12-25,5,909,1212,1697,0,112.0,177373.28,3192.72,0-30 days,0,97.9,Gujarat Agro Seeds Pvt Ltd
2022-01-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Rajkot Warehouse,497.53,14.69,3,2021-12-29,6,235,323,452,0,145.0,72141.85,1298.55,0-30 days,0,97.7,Kathiawar Peanut Processors
2022-01-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Rajkot Warehouse,594.51,19.65,14,2021-12-18,5,295,393,550,0,129.0,76691.79,1380.45,0-30 days,0,93.6,Shakti Packaging Industries
2022-01-01,P004,Industrial Castor Oil 50L,Industrial Oil,Rajkot Warehouse,42.15,1.0,12,2021-12-20,10,20,30,38,0,4120.0,173658.0,3125.84,0-30 days,0,94.2,Industrial Chemicals Feedstock Co
