InvoiceID,Customer,Amount_INR,DaysOverdue,Status
INV-10000,Delhi Mega Stores,18904,63,Pending
INV-10001,Rajasthan Traders,35928,40,Pending
INV-10002,Mumbai Fresh Mart,21745,-1,Paid
INV-10003,Mumbai Fresh Mart,19335,56,Pending
INV-10004,Mumbai Fresh Mart,24503,60,Pending
INV-10005,Gujarat Supermarkets,350000,78,Pending
INV-10006,Gujarat Supermarkets,350000,81,Pending
INV-10007,Rajasthan Traders,422985,-7,Paid
INV-10008,Punjab Distributors,64692,12,Pending
INV-10009,Gujarat Supermarkets,350000,67,Pending
INV-10010,Mumbai Fresh Mart,94291,43,Pending
INV-10011,Rajasthan Traders,16320,20,Pending
INV-10012,Delhi Mega Stores,38957,69,Pending
INV-10013,Rajasthan Traders,16984,49,Pending
INV-10014,Punjab Distributors,69171,51,Pending
INV-10015,Rajasthan Traders,83379,103,Pending
INV-10016,Delhi Mega Stores,61920,97,Pending
INV-10017,Mumbai Fresh Mart,39110,31,Pending
INV-10018,Delhi Mega Stores,15562,76,Pending
INV-10019,Gujarat Supermarkets,350000,81,Pending
INV-10020,Mumbai Fresh Mart,79752,44,Pending
INV-10021,Punjab Distributors,53199,50,Pending
INV-10022,Rajasthan Traders,69998,94,Pending
INV-10023,Rajasthan Traders,80027,42,Pending
INV-10024,Delhi Mega Stores,64899,74,Pending
INV-10025,Punjab Distributors,126056,-3,Paid
INV-10026,Punjab Distributors,98408,42,Pending
INV-10027,Gujarat Supermarkets,92421,76,Pending
INV-10028,Mumbai Fresh Mart,12047,13,Pending
INV-10029,Mumbai Fresh Mart,134575,0,Paid
INV-10030,Mumbai Fresh Mart,76609,-4,Paid
INV-10031,Mumbai Fresh Mart,10461,71,Pending
INV-10032,Mumbai Fresh Mart,16321,111,Pending
INV-10033,Rajasthan Traders,332897,-8,Paid
INV-10034,Gujarat Supermarkets,85049,14,Pending
INV-10035,Rajasthan Traders,97927,78,Pending
INV-10036,Delhi Mega Stores,10723,57,Pending
INV-10037,Punjab Distributors,33335,92,Pending
INV-10038,Delhi Mega Stores,11749,8,Pending
INV-10039,Delhi Mega Stores,47171,20,Pending
INV-10040,Gujarat Supermarkets,28436,13,Pending
INV-10041,Gujarat Supermarkets,49650,2,Pending
INV-10042,Punjab Distributors,38368,14,Pending
INV-10043,Delhi Mega Stores,22111,120,Pending
INV-10044,Punjab Distributors,77200,101,Pending
INV-10045,Delhi Mega Stores,39256,96,Pending
INV-10046,Rajasthan Traders,22036,3,Pending
INV-10047,Punjab Distributors,34445,115,Pending
INV-10048,Rajasthan Traders,15307,106,Pending
INV-10049,Mumbai Fresh Mart,64737,109,Pending
INV-10050,Mumbai Fresh Mart,45033,38,Pending
INV-10051,Delhi Mega Stores,44922,-1,Paid
INV-10052,Mumbai Fresh Mart,66069,7,Pending
INV-10053,Punjab Distributors,195875,-7,Paid
INV-10054,Gujarat Supermarkets,63933,24,Pending
INV-10055,Gujarat Supermarkets,14448,102,Pending
INV-10056,Punjab Distributors,44225,66,Pending
INV-10057,Mumbai Fresh Mart,62611,35,Pending
INV-10058,Delhi Mega Stores,84920,117,Pending
INV-10059,Mumbai Fresh Mart,66516,51,Pending
INV-10060,Rajasthan Traders,92765,38,Pending
INV-10061,Rajasthan Traders,98452,66,Pending
INV-10062,Delhi Mega Stores,93570,23,Pending
INV-10063,Punjab Distributors,29403,101,Pending
INV-10064,Rajasthan Traders,75907,80,Pending
INV-10065,Rajasthan Traders,15759,5,Pending
INV-10066,Mumbai Fresh Mart,43408,63,Pending
INV-10067,Mumbai Fresh Mart,257120,-4,Paid
INV-10068,Rajasthan Traders,42817,26,Pending
INV-10069,Mumbai Fresh Mart,98312,101,Pending
INV-10070,Delhi Mega Stores,74668,35,Pending
INV-10071,Mumbai Fresh Mart,49193,19,Pending
INV-10072,Delhi Mega Stores,81983,92,Pending
INV-10073,Mumbai Fresh Mart,68286,117,Pending
